#{"t_start": 1736249810.1212168, "env_id": "None"}
r,l,t
-1.741876,200,78.308776
-1053.192764,200,78.374325
-99.257171,200,78.424659
-117.471387,200,78.47428
-1587.759184,200,78.54003
-1493.363046,200,79.507946
-1076.042104,200,79.558251
-65.448866,200,79.60814
-22.373458,200,79.661266
-1308.700203,200,79.711186
-1150.848732,200,79.757684
-25.768135,200,79.823223
-4.940391,200,79.874913
-7.416899,200,79.924633
-1159.343371,200,79.975018
-137.621861,200,81.042443
-1.164057,200,81.10176
-32.339605,200,81.174072
-0.44074,200,81.229347
-7.930192,200,81.291472
-1938.890426,200,81.344089
-11.32334,200,81.392497
-104.654526,200,81.46286
-167.760899,200,81.507576
-6.632944,200,81.557638
-1429.983715,200,82.874559
-223.608435,200,82.940856
-10.081718,200,83.007597
-0.540083,200,83.077873
-38.569296,200,83.140746
-82.202088,200,83.210429
-1874.960696,200,83.274023
-226.672548,200,83.343882
-30.831762,200,83.407395
-1472.170068,200,83.460005
-662.531714,200,83.524559
-78.554491,200,84.70814
-0.91915,200,84.757742
-27.503851,200,84.824779
-52.877894,200,84.874237
-1836.974562,200,84.924016
-1875.720713,200,84.974096
-1826.240217,200,85.043054
-11.292518,200,85.093581
-38.318223,200,85.157126
-31.650536,200,85.207409
-0.104767,200,86.274094
-1512.916328,200,86.340866
-8.496104,200,86.407575
-1318.904067,200,86.458477
-21.702138,200,86.507726
-569.718299,200,86.5765
-1273.008567,200,86.625777
-18.764236,200,86.673983
-49.454165,200,86.723989
-6.351392,200,86.775065
-3.629005,200,87.859513
-57.415394,200,87.92398
-6.644076,200,87.97407
-32.788508,200,88.024071
-0.113358,200,88.074236
-9.518853,200,88.126444
-3.568617,200,88.174124
-209.142712,200,88.226311
-17.760171,200,88.274186
-13.163979,200,88.341344
-44.663204,200,89.307222
-50.459439,200,89.357784
-5.463655,200,89.407438
-65.656101,200,89.457784
-580.533847,200,89.524579
-75.559828,200,89.575696
-1552.646604,200,89.624382
-15.727391,200,89.674534
-167.262309,200,89.723835
-38.597936,200,89.789348
-70.502909,200,89.840647
-14.90355,200,90.790565
-0.033297,200,90.857116
-35.778034,200,90.907196
-1487.695022,200,90.960187
-1.242851,200,91.007883
-60.144789,200,91.060319
-44.64706,200,91.110238
-58.458901,200,91.160727
-23.384196,200,91.207237
-9.531921,200,91.260795
-10.039441,200,92.241062
-12.500281,200,92.290525
-1122.89741,200,92.364261
-3.004942,200,92.423658
-1498.916181,200,92.474297
-24.419372,200,92.524248
-1583.102619,200,92.574073
-66.55316,200,92.625588
-39.885361,200,92.673777
-44.117522,200,92.742615
-0.3837,200,93.761898
-16.150483,200,93.823925
-17.743646,200,93.889391
-151.864908,200,93.940461
